DATE,ANNA426MFG
2005-07-01,20.2046610026002
2005-08-01,21.9142908176238
2005-09-01,22.1906294657128
2005-10-01,22.3006867519502
2005-11-01,22.2596662652192
2005-12-01,22.1624594880049
2006-01-01,21.9689298403609
2006-02-01,21.755861513004103
2006-03-01,21.267462834801396
2006-04-01,21.7838637844287
2006-05-01,21.130423738763
2006-06-01,21.275582602818503
2006-07-01,19.5015042897841
2006-08-01,21.0439484613212
2006-09-01,20.948651499412104
2006-10-01,20.624551705514897
2006-11-01,20.8707009788633
2006-12-01,20.1704227203728
2007-01-01,19.9360849770906
2007-02-01,19.761509069021802
2007-03-01,19.6946272250044
2007-04-01,19.427161181895602
2007-05-01,19.274527725395
2007-06-01,19.2125184272997
2007-07-01,18.3103582924067
2007-08-01,18.6981401016926
2007-09-01,18.6348834417956
